abstract	id	paper_ref	title	presenters	authors	affiliations	topic
abstract_0518.html	239	P8-05	The issue basis of citizens’ left-right orientations: Differences across cohorts in Europe	Nils Steiner	Nils Steiner	Johannes Gutenberg University Mainz	Elections, Public Opinion, and Voting Behaviour
abstract_0517.html	257	P8-05	Who gets to play? A typology of the dynamics behind enfranchisement across Europe	Lotem Halevy	Lotem Halevy	University of Pennsylvania	Comparative Politics
abstract_0516.html	315	P8-05	The electoral implications of minority cabinets	Maria Thürk	Maria Thürk (1), Heike Klüver (2)	1. University og Basel, 2. Humboldt-Universität zu Berlin	Comparative Politics
abstract_0515.html	237	P8-05	When do voters learn from foreign experiences? Evidence from Brexit	Giorgio Malet	Giorgio Malet, Stefanie Walter	University of Zurich	Elections, Public Opinion, and Voting Behaviour
abstract_0514.html	73	P8-05	Challenging the predominant measurement approach: presenting new measurement instruments for both nationalism and patriotism	Marlene Mußotter	Marlene Mußotter	University of Passau	Political Methodology
abstract_0513.html	276	P8-04	Voters, elites and punishment of moral transgressions	Robert Klemmensen	Robert Klemmensen (1), Stig H. Jensen (2)	1. University of Southern Denamrk, 2. University of Aarhus	Elections, Public Opinion, and Voting Behaviour
abstract_0512.html	619	P8-04	Violations across borders: The impacts of American racial discrimination on support for minority rights around the world	Jamie Gruffydd-jones	Jamie Gruffydd-jones	University of Kent	International Relations and Conflict
abstract_0511.html	536	P8-04	State-Church Synergies in Colonial Empires: Longitudinal Evidence on Missionary Expansion in Africa	Bastian Becker	Bastian Becker	University of Bremen	Political Economy, Public Policy and Administration
abstract_0510.html	520	P8-04	Voter Turnout and Party Responsiveness	Werner Krause	Lawrence Ezrow (1), Werner Krause (2)	1. University of Essex, 2. Humboldt University Berlin	Comparative Politics
abstract_0509.html	509	P8-04	Participation or information? The who, what and why of the EU’s new ‘ubiquitous’ consultation regime	Joe Chrisp	Joe Chrisp, Adriana Bunea	University of Bergen	Political Economy, Public Policy and Administration
abstract_0508.html	438	P8-04	Mapping the policy space of public stakeholder consultations: Evidence from the European Union.	Adriana Bunea, Reto Wueest	Adriana Bunea, Reto Wueest	University of Bergen	EU Politics
abstract_0507.html	457	P8-04	Populist Contagion in the House of Commons: A Comparative Study of PMQs from Blair to May	Ebru Ece Özbey	Ebru Ece Özbey	"University of Cologne, Cologne;
Max Planck Institute for the Study of Societies, Cologne"	Political Communications
abstract_0506.html	539	P8-04	Brexit, Critical Junctures, and Endogenous Institutional Change	Nina Barzachka	Nina Barzachka	College of the Holy Cross	EU Politics
abstract_0505.html	214	P8-04	The (real) need for a human touch: Testing a human-machine hybrid topic classification workflow on a New York Times corpus	Ákos Máté	Miklós Sebők (1), Zoltán Kacsuk (2), Ákos Máté (1)	1. Centre for Social Sciences, ELKH, Budapest, 2. Stuttgart Media University	Political Methodology
